species,fruit_type,color,length.max_mm
Clidemia_sandwithii,fleshy,white,2.5
Clidemia_saulensis,fleshy,white,2.5
Clidemia_scopulina,fleshy,colored,2
Clidemia_septuplinervia,fleshy,colored,2
Clidemia_sericea,fleshy,colored,2.8
Clidemia_sessiliflora,fleshy,white,2.5
Clidemia_setosa,fleshy,white,5
Clidemia_silvicola,fleshy,white,2.5
Clidemia_spectabilis,fleshy,colored,7
Clidemia_stellipilis,fleshy,white,2.3
Clidemia_steyermarkii,fleshy,white,2
Clidemia_strigillosa,fleshy,white,3.5
Clidemia_submontana,fleshy,white,10
Clidemia_taurina,fleshy,white,6
Clidemia_tenebrosa,fleshy,white,5
Clidemia_tepuiensis,fleshy,colored,3.3
Clidemia_tetrapetala,fleshy,white,6
Clidemia_tococoidea,fleshy,white,1.5
Clidemia_urceolata,fleshy,white,7
Clidemia_utleyana,fleshy,colored,2
Clidemia_vegaensis,fleshy,white,3.3
Clidemia_ventricosa,fleshy,colored,8
Comolia_smithii,dry,colored,12
Conostegia_allenii,fleshy,colored,5
Conostegia_apiculata,fleshy,white,11
Conostegia_arborea,fleshy,white,12.5
Conostegia_attenuata,fleshy,colored,9
Conostegia_balbisiana,fleshy,colored,20
Conostegia_bigibbosa,fleshy,colored,11.25
Conostegia_bracteata,fleshy,colored,7
Conostegia_brenesiana,fleshy,white,2.5
Conostegia_brenesii,fleshy,colored,6.5
Conostegia_caelestis,fleshy,white,10
Conostegia_calocoma,fleshy,white,4
Conostegia_centronioides,fleshy,white,9
Conostegia_centrosperma,fleshy,white,4.25
Conostegia_chiriquensis,fleshy,white,12
Conostegia_cinnamomea,fleshy,colored,4.25
Conostegia_colliculosa,fleshy,white,4
Conostegia_consimilis,fleshy,colored,3.5
Conostegia_cuatrecasii,fleshy,colored,12
Conostegia_dentata,fleshy,colored,13
Conostegia_dissitiflora,fleshy,white,3.5
Conostegia_dissitinervia,fleshy,white,2
Conostegia_dissitiora,fleshy,white,3.75
Conostegia_extinctoria,fleshy,white,5
Conostegia_foreroi,fleshy,white,3.4
Conostegia_fraterna,fleshy,white,4.6
Conostegia_friedmaniorum,fleshy,colored,3.5
Conostegia_galdamesiae,fleshy,white,2
Conostegia_grayumii,fleshy,white,2.75
Conostegia_hammelii,fleshy,white,4
Conostegia_henripittieri,fleshy,colored,4
Conostegia_hirtella,fleshy,colored,5
Conostegia_icosandra,fleshy,white,9
Conostegia_incurva,fleshy,white,11
Conostegia_iteophylla,fleshy,white,2.5
Conostegia_jaliscana,fleshy,white,8
Conostegia_jefensis,fleshy,colored,3.25
Conostegia_lancifolia,fleshy,white,10
Conostegia_lasiopoda,fleshy,white,8
Conostegia_lindenii,fleshy,white,5
Conostegia_macrantha,fleshy,white,16
Conostegia_micrantha,fleshy,colored,5.25
Conostegia_montana,fleshy,colored,5.25
Conostegia_monteleagreana,fleshy,white,5
Conostegia_muriculata,fleshy,white,7
Conostegia_oerstediana,fleshy,white,11
Conostegia_oligocephala,fleshy,white,4
Conostegia_ombrophila,fleshy,white,5
Conostegia_ortizae,fleshy,white,12
Conostegia_osaensis,fleshy,white,8
Conostegia_papillopetala,fleshy,colored,2
Conostegia_peltata,fleshy,colored,3
Conostegia_pendula,fleshy,colored,3.5
Conostegia_pittieri,fleshy,white,14
Conostegia_plumosa,fleshy,white,6
Conostegia_polyandra,fleshy,colored,9.5
Conostegia_procera,fleshy,colored,14
Conostegia_rhodopetala,fleshy,colored,8.3
Conostegia_rubiginosa,fleshy,white,9
Conostegia_rufescens,fleshy,colored,11
Conostegia_schlimii,fleshy,white,14
Conostegia_setifera,fleshy,white,11
Conostegia_setosa,fleshy,colored,7
Conostegia_shattuckii,fleshy,white,5
Conostegia_speciosa,fleshy,colored,7.25
Conostegia_subcrustulata,fleshy,colored,5
Conostegia_subpeltata,fleshy,white,3.5
Conostegia_superba,fleshy,colored,6.5
Conostegia_tenuifolia,fleshy,white,8.25
Conostegia_trichosantha,fleshy,colored,4.5
Conostegia_volcanalis,fleshy,white,15
Conostegia_vulcanicola,fleshy,colored,7
Conostegia_xalapensis,fleshy,colored,8
Cyphotheca_montana,dry,colored,11
Desmoscelis_villosa,dry,colored,9
Dicrananthera_hedyotidea,dry,colored,4
Dissochaeta_affinis,fleshy,colored,25
Dissochaeta_annulata,fleshy,colored,20
Dissochaeta_atrobrunnea,fleshy,colored,12
Dissochaeta_barbata,fleshy,white,7
Dissochaeta_conica,fleshy,colored,8
Dissochaeta_divaricata,fleshy,colored,10
Dissochaeta_echinulata,fleshy,white,18
Dissochaeta_fallax,fleshy,colored,15
Dissochaeta_gracilis,fleshy,colored,4
Dissochaeta_intermedia,fleshy,colored,12
Dissochaeta_reformata,fleshy,colored,25
Dissochaeta_stipularis,fleshy,white,3.5
Dissochaeta_viminalis,fleshy,colored,5
Driessenia_aequiappendiculata,dry,colored,8.3
Driessenia_axantha,dry,white,2.5
Driessenia_dispar,dry,colored,7.5
Driessenia_glanduligera,dry,colored,9
Driessenia_inaequalifolia,dry,colored,11
Driessenia_microthrix,dry,white,2
Driessenia_minutiflora,dry,colored,2
Driessenia_ohwiana,dry,colored,3.5
Driessenia_planopetiolata,dry,colored,2
Driessenia_winkleri,dry,colored,10
Ernestia_cataractae,dry,colored,15
Ernestia_maguirei,dry,colored,8.5
Ernestia_ovata,dry,colored,9
Fordiophyton_brevicaule,dry,colored,9
Fordiophyton_breviscapum,dry,colored,7.5
Fordiophyton_chenii,dry,colored,10
Fordiophyton_cordifolium,dry,colored,11
Fordiophyton_degeneratum,dry,colored,8
Fordiophyton_huizhouense,dry,colored,15
Fordiophyton_jinpingense,dry,colored,16
Fordiophyton_longipes,dry,white,8
Fordiophyton_repens,dry,colored,17
Fordiophyton_strictum,dry,colored,10
Fordiophyton_zhuangiae,dry,colored,18
Fritzschia_cordifolia,dry,colored,11
Fritzschia_furnensis,dry,colored,16
Graffenrieda_bella,dry,white,9
Graffenrieda_caryophyllea,dry,white,10
Graffenrieda_conostegioides,dry,colored,10
Graffenrieda_cucullata,dry,white,7
Graffenrieda_fantastica,dry,white,4.5
Graffenrieda_fruticosa,dry,colored,14
Graffenrieda_galeottii,dry,white,6
Graffenrieda_glandulosa,dry,white,4.5
Graffenrieda_gracilis,dry,white,3.5
Graffenrieda_hitchcockii,dry,white,7
Graffenrieda_intermedia,dry,white,5
Graffenrieda_jauana,dry,white,5.5
Graffenrieda_jefensis,dry,white,3
Graffenrieda_laevicarpa,dry,white,17
Graffenrieda_latifolia,dry,white,7
Graffenrieda_maklenkensis,dry,white,5
Graffenrieda_miconioides,dry,colored,6
Graffenrieda_micrantha,dry,white,3
Graffenrieda_moritziana,dry,colored,4
Graffenrieda_obliqua,dry,white,2.5
Graffenrieda_patens,dry,colored,4.5
Graffenrieda_pedunculata,dry,white,13
Graffenrieda_penneysii,dry,white,6.5
Graffenrieda_reticulata,dry,colored,8
Graffenrieda_rotundifolia,dry,colored,15
Graffenrieda_rupestris,dry,colored,15
Graffenrieda_santamartensis,dry,white,3
Graffenrieda_sessilifolia,dry,colored,11
Graffenrieda_tricalcarata,dry,white,5
Graffenrieda_versicolor,dry,colored,9
Graffenrieda_weddellii,dry,white,14
Gravesia_serratifolia,dry,colored,19
Henriettea_bracteosa,fleshy,white,5
Henriettea_caudata,fleshy,white,3
Henriettea_glabra,fleshy,colored,6
Henriettea_granulata,fleshy,white,5
Henriettea_heteroneura,fleshy,white,2
Henriettea_horridula,fleshy,white,5.5
Henriettea_manarae,fleshy,white,2
Henriettea_maroniensis,fleshy,white,17
Henriettea_martiusii,fleshy,white,15
Henriettea_mucronata,fleshy,colored,10
Henriettea_multiflora,fleshy,white,10
Henriettea_multigemma,fleshy,white,2
Henriettea_ovata,fleshy,white,3.2
Henriettea_patrisiana,fleshy,white,5
Henriettea_ramiflora,fleshy,colored,10
Henriettea_rimosa,fleshy,white,3
Henriettea_saldanhaei,fleshy,colored,7
Henriettea_sessilifolia,fleshy,white,8
Henriettea_sierrae,fleshy,colored,5
Henriettea_spruceana,fleshy,white,9
Henriettea_stellaris,fleshy,white,7
Henriettea_steyermarkii,fleshy,white,2.8
Henriettea_succosa,fleshy,colored,11
Henriettea_trachyphylla,fleshy,white,2
Henriettea_tuberculosa,fleshy,white,2
Heterocentron_breedlovei,dry,colored,11.5
Heterocentron_chimalapanum,dry,colored,10
Heterocentron_elegans,dry,colored,13
Heterocentron_evansii,dry,colored,10
Heterocentron_glandulosum,dry,colored,8
Heterocentron_hirtellum,dry,colored,15
Heterocentron_muricatum,dry,colored,13
Heterocentron_subtriplinervium,dry,white,12
Heterocentron_suffruticosum,dry,colored,16
Heterotis_rotundifolia,dry,colored,20
Huberia_carvalhoi,dry,white,23
Huberia_cogniauxii,dry,white,9.8
Huberia_consimilis,dry,white,25
Huberia_lumiarensis,dry,colored,12
Huberia_mestrealvarensis,dry,colored,13
Huberia_staminodia,dry,white,11
Huberia_weberbaueriana,dry,white,14
Lavoisiera_adamantium,dry,colored,15
Lavoisiera_alba,dry,colored,22
Lavoisiera_angustifolia,dry,colored,14
Lavoisiera_arachnoidea,dry,colored,25
Lavoisiera_belinelloi,dry,colored,32
Lavoisiera_bradeana,dry,colored,17
Lavoisiera_canastrensis,dry,colored,18
Lavoisiera_caryophyllea,dry,colored,25
Lavoisiera_chamaepitys,dry,colored,20
Lavoisiera_cogniauxiana,dry,colored,35
Lavoisiera_confertiflora,dry,colored,20
Lavoisiera_cordata,dry,colored,25
Lavoisiera_crassifolia,dry,colored,28
Lavoisiera_daviesiana,dry,white,20
Lavoisiera_firmula,dry,colored,25
Lavoisiera_gentianoides,dry,colored,20
Lavoisiera_glandulifera,dry,colored,30
Lavoisiera_grandiflora,dry,colored,30
Lavoisiera_harleyi,dry,colored,40
Lavoisiera_humilis,dry,colored,12
Lavoisiera_imbricata,dry,colored,27
Lavoisiera_itambana,dry,colored,25
Lavoisiera_macrocarpa,dry,colored,45
Lavoisiera_mello-barretoi,dry,colored,25
Lavoisiera_minima,dry,colored,10
Lavoisiera_mucorifera,dry,colored,18
Lavoisiera_nervulosa,dry,colored,23
Lavoisiera_pohliana,dry,colored,25
Lavoisiera_pulchella,dry,colored,18
Lavoisiera_pulcherrima,dry,colored,30
Lavoisiera_punctata,dry,colored,30
Lavoisiera_quinquenervis,dry,colored,25
Lavoisiera_rigida,dry,colored,22
Lavoisiera_rundeliana,dry,colored,22
Lavoisiera_sampaioana,dry,colored,25
Lavoisiera_scaberula,dry,colored,15
Lavoisiera_senae,dry,colored,20
Lavoisiera_setosa,dry,colored,20
Lavoisiera_subulata,dry,colored,14
Lavoisiera_tetragona,dry,colored,20
Lavoisiera_vestita,dry,colored,25
Leandra_agrestis,fleshy,white,3
Leandra_altomacaensis,fleshy,white,2.7
Leandra_angustifolia,fleshy,white,7.1
Leandra_aristigera,fleshy,white,2.4
Leandra_aspera,fleshy,white,4.2
Leandra_capilliflora,fleshy,white,2.6
Leandra_capitata,fleshy,white,5.2
Leandra_clidemioides,fleshy,white,2
Leandra_cogniauxiana,fleshy,colored,5.2
Leandra_cristata,fleshy,white,1.9
Leandra_cuneata,fleshy,white,2.2
Leandra_dichotoma,fleshy,colored,2.5
Leandra_divaricata,fleshy,white,2.5
Leandra_edentula,fleshy,white,1.2
Leandra_fontanae,fleshy,white,5
Leandra_francavillana,fleshy,white,3
Leandra_glazioviana,fleshy,white,9
Leandra_granatensis,fleshy,colored,2.5
Leandra_grandifolia,fleshy,white,2.5
Leandra_gynoverrucosa,fleshy,white,7
Leandra_hermogenesii,fleshy,white,1.7
Leandra_heteroporata,fleshy,white,5
Leandra_hirta,fleshy,white,4.2
Leandra_lapae,fleshy,white,4
Leandra_lasiopetala,fleshy,colored,3.5
Leandra_lindeniana,fleshy,white,5
Leandra_loligomorpha,fleshy,white,4
Leandra_longicoma,fleshy,white,2
Leandra_longisepala,fleshy,colored,3.8
Leandra_magnipetala,fleshy,white,6.5
Leandra_maguirei,fleshy,white,2.5
Leandra_melanodesma,fleshy,white,2.5
Leandra_melastomoides,fleshy,white,6.5
Leandra_mexicana,fleshy,colored,2.5
Leandra_micrantha,fleshy,white,0.6
Leandra_moldy,fleshy,white,2
Leandra_multiplinervis,fleshy,colored,5.7
Leandra_neblinensis,fleshy,colored,4
Leandra_paleacea,fleshy,white,1.5
Leandra_polyadena,fleshy,colored,0.5
Leandra_procumbens,fleshy,colored,3.5
Leandra_reptans,fleshy,white,2
Leandra_rufescens,fleshy,white,1.3
Leandra_sanguinea,fleshy,white,3
Leandra_santos-limae,fleshy,white,5
Leandra_sericea,fleshy,white,4.8
Leandra_solenifera,fleshy,colored,2.8
Leandra_subseriata,fleshy,white,2
Leandra_subulata,fleshy,colored,5.5
Leandra_therezopolitana,fleshy,white,4
Leandra_ulaei,fleshy,white,5.8
Leandra_umbellata,fleshy,white,9
Leiostegia_vernicosa,dry,colored,7
Macairea_axilliflora,dry,colored,5.3
Macairea_cardonae,dry,colored,14.5
Macairea_chimantensis,dry,white,10
Macairea_lanata,dry,colored,12
Macairea_lasiophylla,dry,colored,8
Macairea_linearis,dry,colored,10.5
Macairea_maroana,dry,white,13
Macairea_multinervia,dry,colored,14
Macairea_neblinae,dry,colored,11
Macairea_pachyphylla,dry,colored,8.5
Macairea_parvifolia,dry,colored,10
Macairea_radula,dry,colored,8.5
Macairea_rufescens,dry,colored,13
Macairea_stylosa,dry,colored,14
Macairea_thyrsiflora,dry,white,11
Macrocentrum_angustifolium,dry,colored,8.5
Macrocentrum_anychioides,dry,colored,14
Macrocentrum_brevipedicellatum,dry,white,5
Macrocentrum_cristatum,dry,white,10
Macrocentrum_droseroides,dry,white,5.5
Macrocentrum_maguirei,dry,white,5.5
Macrocentrum_minus,dry,colored,7
